model_reference,task_type,scenario,input_tokens,output_tokens,raw_cost_rmb,adjusted_cost_rmb,notes
"OpenAI GPT-5.4 API",standard,"requirement analysis material rewrite meeting notes",2000,1200,0.1656,0.4140,"OpenAI official API pricing; 1 USD = 7.2 RMB; adjusted cost uses 2.5x safety factor"
"OpenAI GPT-5.4 API",heavy,"long document summary operation plan lesson explanation",5000,3000,0.4140,1.0350,"OpenAI official API pricing; 1 USD = 7.2 RMB; adjusted cost uses 2.5x safety factor"
"OpenAI GPT-5.4 API",multi_version,"three versions of script or material expression",2500,3600,0.4338,1.0845,"OpenAI official API pricing; 1 USD = 7.2 RMB; adjusted cost uses 2.5x safety factor"
"Claude Haiku 4.5 API",light,"title or short rewrite",800,600,0.0274,0.0684,"Anthropic official API pricing; 1 USD = 7.2 RMB; adjusted cost uses 2.5x safety factor"
"Claude Haiku 4.5 API",standard,"requirement analysis material rewrite meeting notes",2000,1200,0.0576,0.1440,"Anthropic official API pricing; 1 USD = 7.2 RMB; adjusted cost uses 2.5x safety factor"
"Claude Haiku 4.5 API",heavy,"long document summary operation plan lesson explanation",5000,3000,0.1440,0.3600,"Anthropic official API pricing; 1 USD = 7.2 RMB; adjusted cost uses 2.5x safety factor"
"Claude Haiku 4.5 API",multi_version,"three versions of script or material expression",2500,3600,0.1476,0.3690,"Anthropic official API pricing; 1 USD = 7.2 RMB; adjusted cost uses 2.5x safety factor"
"Claude Sonnet 4.6 API",light,"title or short rewrite",800,600,0.0821,0.2052,"Anthropic official API pricing; 1 USD = 7.2 RMB; adjusted cost uses 2.5x safety factor"
"Claude Sonnet 4.6 API",standard,"requirement analysis material rewrite meeting notes",2000,1200,0.1728,0.4320,"Anthropic official API pricing; 1 USD = 7.2 RMB; adjusted cost uses 2.5x safety factor"
"Claude Sonnet 4.6 API",heavy,"long document summary operation plan lesson explanation",5000,3000,0.4320,1.0800,"Anthropic official API pricing; 1 USD = 7.2 RMB; adjusted cost uses 2.5x safety factor"
"Claude Sonnet 4.6 API",multi_version,"three versions of script or material expression",2500,3600,0.4428,1.1070,"Anthropic official API pricing; 1 USD = 7.2 RMB; adjusted cost uses 2.5x safety factor"
"Gemini 2.5 Flash-Lite API",light,"title or short rewrite",800,600,0.0023,0.0058,"Google Gemini paid tier standard pricing; text/image/video token price; 1 USD = 7.2 RMB; adjusted cost uses 2.5x safety factor"
"Gemini 2.5 Flash-Lite API",standard,"requirement analysis material rewrite meeting notes",2000,1200,0.0049,0.0122,"Google Gemini paid tier standard pricing; text/image/video token price; 1 USD = 7.2 RMB; adjusted cost uses 2.5x safety factor"
"Gemini 2.5 Flash-Lite API",heavy,"long document summary operation plan lesson explanation",5000,3000,0.0122,0.0306,"Google Gemini paid tier standard pricing; text/image/video token price; 1 USD = 7.2 RMB; adjusted cost uses 2.5x safety factor"
"Gemini 2.5 Flash-Lite API",multi_version,"three versions of script or material expression",2500,3600,0.0122,0.0304,"Google Gemini paid tier standard pricing; text/image/video token price; 1 USD = 7.2 RMB; adjusted cost uses 2.5x safety factor"
"Gemini 2.5 Flash API",light,"title or short rewrite",800,600,0.0125,0.0313,"Google Gemini paid tier standard pricing; text/image/video token price; 1 USD = 7.2 RMB; adjusted cost uses 2.5x safety factor"
"Gemini 2.5 Flash API",standard,"requirement analysis material rewrite meeting notes",2000,1200,0.0259,0.0648,"Google Gemini paid tier standard pricing; text/image/video token price; 1 USD = 7.2 RMB; adjusted cost uses 2.5x safety factor"
"Gemini 2.5 Flash API",heavy,"long document summary operation plan lesson explanation",5000,3000,0.0648,0.1620,"Google Gemini paid tier standard pricing; text/image/video token price; 1 USD = 7.2 RMB; adjusted cost uses 2.5x safety factor"
"Gemini 2.5 Flash API",multi_version,"three versions of script or material expression",2500,3600,0.0702,0.1755,"Google Gemini paid tier standard pricing; text/image/video token price; 1 USD = 7.2 RMB; adjusted cost uses 2.5x safety factor"
"Gemini 2.5 Pro API",light,"title or short rewrite",800,600,0.0504,0.1260,"Google Gemini paid tier standard pricing for prompts <= 200k tokens; 1 USD = 7.2 RMB; adjusted cost uses 2.5x safety factor"
"Gemini 2.5 Pro API",standard,"requirement analysis material rewrite meeting notes",2000,1200,0.1044,0.2610,"Google Gemini paid tier standard pricing for prompts <= 200k tokens; 1 USD = 7.2 RMB; adjusted cost uses 2.5x safety factor"
"Gemini 2.5 Pro API",heavy,"long document summary operation plan lesson explanation",5000,3000,0.2610,0.6525,"Google Gemini paid tier standard pricing for prompts <= 200k tokens; 1 USD = 7.2 RMB; adjusted cost uses 2.5x safety factor"
"Gemini 2.5 Pro API",multi_version,"three versions of script or material expression",2500,3600,0.2817,0.7043,"Google Gemini paid tier standard pricing for prompts <= 200k tokens; 1 USD = 7.2 RMB; adjusted cost uses 2.5x safety factor"
"Kimi moonshot-v1-32k API",light,"title or short rewrite",800,600,0.0187,0.0468,"Moonshot Kimi official pricing; 1 USD = 7.2 RMB; adjusted cost uses 2.5x safety factor"
"Kimi moonshot-v1-32k API",standard,"requirement analysis material rewrite meeting notes",2000,1200,0.0403,0.1008,"Moonshot Kimi official pricing; 1 USD = 7.2 RMB; adjusted cost uses 2.5x safety factor"
"Kimi moonshot-v1-32k API",heavy,"long document summary operation plan lesson explanation",5000,3000,0.1008,0.2520,"Moonshot Kimi official pricing; 1 USD = 7.2 RMB; adjusted cost uses 2.5x safety factor"
"Kimi moonshot-v1-32k API",multi_version,"three versions of script or material expression",2500,3600,0.0958,0.2394,"Moonshot Kimi official pricing; 1 USD = 7.2 RMB; adjusted cost uses 2.5x safety factor"
"Kimi K2.5 API",light,"title or short rewrite",800,600,0.0164,0.0410,"Moonshot Kimi K2.5 official pricing; cache-miss input; 1 USD = 7.2 RMB; adjusted cost uses 2.5x safety factor"
"Kimi K2.5 API",standard,"requirement analysis material rewrite meeting notes",2000,1200,0.0346,0.0864,"Moonshot Kimi K2.5 official pricing; cache-miss input; 1 USD = 7.2 RMB; adjusted cost uses 2.5x safety factor"
"Kimi K2.5 API",heavy,"long document summary operation plan lesson explanation",5000,3000,0.0864,0.2160,"Moonshot Kimi K2.5 official pricing; cache-miss input; 1 USD = 7.2 RMB; adjusted cost uses 2.5x safety factor"
"Kimi K2.5 API",multi_version,"three versions of script or material expression",2500,3600,0.0886,0.2214,"Moonshot Kimi K2.5 official pricing; cache-miss input; 1 USD = 7.2 RMB; adjusted cost uses 2.5x safety factor"
"Qwen Qwen3.5-Plus API",light,"title or short rewrite",800,600,0.0036,0.0091,"Alibaba Cloud Model Studio official pricing; Chinese mainland minimum price; 1 USD = 7.2 RMB; adjusted cost uses 2.5x safety factor"
"Qwen Qwen3.5-Plus API",standard,"requirement analysis material rewrite meeting notes",2000,1200,0.0076,0.0190,"Alibaba Cloud Model Studio official pricing; Chinese mainland minimum price; 1 USD = 7.2 RMB; adjusted cost uses 2.5x safety factor"
"Qwen Qwen3.5-Plus API",heavy,"long document summary operation plan lesson explanation",5000,3000,0.0190,0.0475,"Alibaba Cloud Model Studio official pricing; Chinese mainland minimum price; 1 USD = 7.2 RMB; adjusted cost uses 2.5x safety factor"
"Qwen Qwen3.5-Plus API",multi_version,"three versions of script or material expression",2500,3600,0.0199,0.0498,"Alibaba Cloud Model Studio official pricing; Chinese mainland minimum price; 1 USD = 7.2 RMB; adjusted cost uses 2.5x safety factor"
"Qwen Qwen3-Max API",light,"title or short rewrite",800,600,0.0083,0.0207,"Alibaba Cloud Model Studio official pricing; Chinese mainland minimum price; 1 USD = 7.2 RMB; adjusted cost uses 2.5x safety factor"
"Qwen Qwen3-Max API",standard,"requirement analysis material rewrite meeting notes",2000,1200,0.0176,0.0439,"Alibaba Cloud Model Studio official pricing; Chinese mainland minimum price; 1 USD = 7.2 RMB; adjusted cost uses 2.5x safety factor"
"Qwen Qwen3-Max API",heavy,"long document summary operation plan lesson explanation",5000,3000,0.0439,0.1097,"Alibaba Cloud Model Studio official pricing; Chinese mainland minimum price; 1 USD = 7.2 RMB; adjusted cost uses 2.5x safety factor"
"Qwen Qwen3-Max API",multi_version,"three versions of script or material expression",2500,3600,0.0436,0.1091,"Alibaba Cloud Model Studio official pricing; Chinese mainland minimum price; 1 USD = 7.2 RMB; adjusted cost uses 2.5x safety factor"
"Doubao 1.5 Lite 32k API",light,"title or short rewrite",800,600,0.0006,0.0015,"Volcengine Ark pricing; adjusted cost uses 2.5x safety factor"
"Doubao 1.5 Lite 32k API",standard,"requirement analysis material rewrite meeting notes",2000,1200,0.0013,0.0033,"Volcengine Ark pricing; adjusted cost uses 2.5x safety factor"
"Doubao 1.5 Lite 32k API",heavy,"long document summary operation plan lesson explanation",5000,3000,0.0033,0.0083,"Volcengine Ark pricing; adjusted cost uses 2.5x safety factor"
"Doubao 1.5 Lite 32k API",multi_version,"three versions of script or material expression",2500,3600,0.0029,0.0073,"Volcengine Ark pricing; adjusted cost uses 2.5x safety factor"
"Doubao 1.5 Pro 32k API",light,"title or short rewrite",800,600,0.0018,0.0046,"Volcengine Ark pricing; adjusted cost uses 2.5x safety factor"
"Doubao 1.5 Pro 32k API",standard,"requirement analysis material rewrite meeting notes",2000,1200,0.0040,0.0100,"Volcengine Ark pricing; adjusted cost uses 2.5x safety factor"
"Doubao 1.5 Pro 32k API",heavy,"long document summary operation plan lesson explanation",5000,3000,0.0100,0.0250,"Volcengine Ark pricing; adjusted cost uses 2.5x safety factor"
"Doubao 1.5 Pro 32k API",multi_version,"three versions of script or material expression",2500,3600,0.0092,0.0230,"Volcengine Ark pricing; adjusted cost uses 2.5x safety factor"
